k,rho,nu,beta,delta,gamma,sigma_cd,sigma_io,lower_cd,upper_cd,lower_io,upper_io
-0.02306028988944509,1.001493973825064,1.0024474644175037,-1.0007374523245498,-0.9932133402732861,-1.0196211831913344,-0.53,-1.93,-0.59,-0.47,-1.99,-1.88
-0.008647738989974153,0.9917887285173514,1.0089961035410264,-0.9914294552400922,-1.0135060342836593,-0.9933976485499181,-0.44,-2.0,-0.53,-0.37,-2.07,-1.92
-0.004363405372064857,0.9893278237896956,1.0020691046565227,-0.997816491385679,-1.0091879923565172,-0.9961421082711119,-0.5,-1.94,-0.58,-0.43,-2.0,-1.89
0.0043456040427275276,0.9842884638998617,0.9996364018624175,-1.0048731686500627,-0.9976066142728734,-0.9908576388769645,-0.53,-1.99,-0.6,-0.47,-2.05,-1.94
-0.0010756839366311143,0.9758714905141492,0.9781679977430935,-0.9954717539154835,-1.0121878708719971,-1.0068090913970977,-0.4,-2.06,-0.51,-0.32,-2.14,-1.99
0.0016123443005531513,1.0118935390032928,1.0074808634345147,-0.9976151342936536,-1.0002354069953037,-0.9976961729477342,-0.53,-2.03,-0.6,-0.46,-2.11,-1.97
-0.019545279314829002,0.9979252064795501,1.0002823948334192,-0.9977801034067411,-1.0051230023515636,-1.0086451629265922,-0.47,-2.07,-0.51,-0.42,-2.12,-2.02
-0.007097780863909572,1.0112298254643186,1.0114651271402109,-0.9910715955441214,-0.996002890618412,-1.0055532663114806,-0.54,-1.95,-0.62,-0.46,-2.0,-1.9
0.01498389235126427,0.9886673584235688,0.9701722533270891,-0.9989485368425535,-1.007621080771496,-1.0027066727464335,-0.46,-1.9,-0.55,-0.38,-2.0,-1.81
-0.03677175363841417,1.0054573461626581,1.0698361091003745,-1.0069491181936945,-0.992358966255045,-1.010529592385543,-0.62,-1.97,-0.72,-0.52,-2.05,-1.88
0.02013498635093003,0.9894429932195498,1.0085851586797663,-0.9986997125179112,-0.9916828450181809,-0.9928804826753648,-0.47,-2.05,-0.56,-0.38,-2.13,-1.97
0.0029763625978600143,0.9878455885776467,0.924798453463301,-0.9979820047375919,-1.0131581374977292,-1.003080660801969,-0.37,-2.03,-0.47,-0.3,-2.14,-1.92
0.015541916746403766,0.9857303814960654,0.9891578105981547,-0.9872138498345486,-1.006452698965381,-1.0017499533131917,-0.51,-1.94,-0.62,-0.41,-2.06,-1.84
-0.024135510504349634,1.014470379283836,1.0166954245125728,-1.012887502020702,-0.9897249465660986,-1.0042911045779155,-0.52,-2.0,-0.59,-0.45,-2.06,-1.93
-0.009944701545627673,0.9762168035537488,0.9556557974588289,-1.005708808234178,-0.9975911030092248,-1.0162826979432618,-0.41,-2.01,-0.49,-0.35,-2.1,-1.94
-0.0057420603456486505,1.0110710274179806,0.9918216055122013,-0.9937548912998707,-1.0013826558093455,-1.0020020240261145,-0.5,-1.97,-0.59,-0.42,-2.03,-1.9
-0.0036877181317699096,1.0085872422190183,0.9957222210466881,-0.9965576798176287,-1.004537917594336,-0.9981750564071037,-0.48,-2.02,-0.54,-0.43,-2.08,-1.96
0.009167546075758676,1.009671190373107,1.0037534464388993,-1.004114738978558,-1.0006992971797704,-0.9879631734772663,-0.51,-2.02,-0.62,-0.4,-2.1,-1.93
0.007427075884210195,1.002502191758874,0.9870124843473524,-1.0009229554405228,-1.0106532328536992,-0.9893448533502694,-0.48,-2.06,-0.54,-0.41,-2.1,-1.98
0.014594527608649526,1.0144096919682006,0.964182491571371,-0.9921689406902501,-1.005494764776254,-0.998688911514199,-0.5,-1.98,-0.56,-0.44,-2.05,-1.93
